OBJECTID,Field name,Field region,Reporting unit name,Reporting Unit Type Code,Reporting Unit Type Description,"Onshore,Offshore Flag",Reporting Period Date,Reporting Period in yyyymm format,Reporting Period Month,Reporting Period Month Name,Reporting Period Year,Oil Production Mass (tonnes),Oil Production Volume (m3),Oil Production volume (mb/d),Oil production density (Kg/m3),Dry gas production mass (tonnes),Dry gas production volume (ksm3),Dry Gas Production volume (MMscf/d),Dry Gas Production Density (kg/sm3),Associated gas production mass (tonnes),Associated Gas Production Volume (MMscf/d),Associated Gas Production Volume (ksm3),Associated Gas Production density (kg/sm3),Gas Condensate mass (kg),Gas condensate volume (ksm3),Gas condensate volume (mb/d),Gas condensate density (kg/sm3),Injected water volume (m3),Injected water volume (mb/d),Water production volume (ksm3),Water production volume (mb/d),Operator Organisation Group,x,y
3791,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2013, 7:00 PM",201311,11,November,2013,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3792,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2013, 7:00 PM",201312,12,December,2013,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3793,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2014, 7:00 PM",201401,01,January,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3794,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2014, 7:00 PM",201402,02,Feburary,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3795,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2014, 8:00 PM",201403,03,March,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3796,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2014, 8:00 PM",201404,04,April,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3797,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2014, 8:00 PM",201405,05,May,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3798,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2014, 8:00 PM",201406,06,June,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3799,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2014, 8:00 PM",201407,07,July,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3800,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2014, 8:00 PM",201408,08,August,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3801,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2014, 8:00 PM",201409,09,September,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3802,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2014, 8:00 PM",201410,10,October,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3803,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2014, 7:00 PM",201411,11,November,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3804,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2014, 7:00 PM",201412,12,December,2014,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3805,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2015, 7:00 PM",201501,01,January,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3806,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2015, 7:00 PM",201502,02,Feburary,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3807,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2015, 8:00 PM",201503,03,March,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3808,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2015, 8:00 PM",201504,04,April,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3809,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2015, 8:00 PM",201505,05,May,2015,65.6253,79,0.01602935,830.7,,,,,1.008,0.00113919,1,1.008,,,,,0,0,609,0.12356806,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3810,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2015, 8:00 PM",201506,06,June,2015,33.24,40,0.00838667,831,,,,,0.998,0.00117717,1,0.998,,,,,0,0,314,0.06583533,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3811,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2015, 8:00 PM",201507,07,July,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3812,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2015, 8:00 PM",201508,08,August,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3813,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2015, 8:00 PM",201509,09,September,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3814,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2015, 8:00 PM",201510,10,October,2015,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3815,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2015, 7:00 PM",201511,11,November,2015,3685.6859,4423,0.92735567,833.3,,,,,78.368,0.09299617,79,0.992,,,,,0,0,31975,6.70409167,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3816,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2015, 7:00 PM",201512,12,December,2015,2375.1225,2853,0.5788829,832.5,,,,,46.577,0.0535421,47,0.991,,,,,0,0,20003,4.05867323,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3817,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2016, 7:00 PM",201601,01,January,2016,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3818,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2016, 7:00 PM",201602,02,Feburary,2016,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3819,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2016, 8:00 PM",201603,03,March,2016,950.6331,1143,0.23191839,831.7,,,,,35.87,0.03873258,34,1.055,,,,,0,0,8641,1.75328677,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3820,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2016, 8:00 PM",201604,04,April,2016,3313.656,4002,0.839086,828,,,,,71.208,0.084756,72,0.989,,,,,0,0,27184,5.69957867,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3821,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2016, 8:00 PM",201605,05,May,2016,2308.775,2765,0.56102742,835,,,,,61.061,0.06949081,61,1.001,,,,,0,0,21035,4.26806935,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3822,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2016, 8:00 PM",201606,06,June,2016,1946.9046,2342,0.49103933,831.3,,,,,50.643,0.0600355,51,0.993,,,,,0,0,17955,3.764565,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3823,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2016, 8:00 PM",201607,07,July,2016,1045.209,1254,0.25444065,833.5,,,,,23.832,0.02734065,24,0.993,,,,,0,0,9449,1.91723258,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3824,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2016, 8:00 PM",201608,08,August,2016,2833.8588,3411,0.6921029,830.8,,,,,61.488,0.06949081,61,1.008,,,,,0,0,25637,5.20183,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3825,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2016, 8:00 PM",201609,09,September,2016,1455.2207,1759,0.36880367,827.3,,,,,26.234,0.03060633,26,1.009,,,,,0,0,13248,2.777664,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3826,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2016, 8:00 PM",201610,10,October,2016,1720.7828,2068,0.41960387,832.1,,,,,33.49,0.03873258,34,0.985,,,,,0,0,15078,3.05937484,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3827,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2016, 7:00 PM",201611,11,November,2016,3188.8668,3836,0.80428133,831.3,,,,,84.05,0.09652767,82,1.025,,,,,0,0,28807,6.03986767,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3828,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2016, 7:00 PM",201612,12,December,2016,320.089,385,0.07811774,831.4,,,,,7.936,0.00911355,8,0.992,,,,,0,0,3164,0.64198581,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3829,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2017, 7:00 PM",201701,01,January,2017,3394.3385,4295,0.87146935,790.3,,,,,81.016,0.09341387,82,0.988,,,,,0,0,34312,6.96201548,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3830,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2017, 7:00 PM",201702,02,Feburary,2017,3267.9297,3933,0.88352036,830.9,,,,,152.76,0.19171,152,1.005,,,,,0,0,31400,7.05378571,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3831,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2017, 8:00 PM",201703,03,March,2017,3706.8408,4472,0.90738323,828.9,,,,,76.152,0.08657871,76,1.002,,,,,0,0,35761,7.25602226,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3832,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2017, 8:00 PM",201704,04,April,2017,3706.8408,4472,0.93762933,828.9,,,,,76.152,0.08946467,76,1.002,,,,,0,0,35761,7.49788967,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3833,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2017, 8:00 PM",201705,05,May,2017,3521.2468,4244,0.86112129,829.7,,,,,69.23,0.07974355,70,0.989,,,,,0,0,36146,7.33414,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3834,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2017, 8:00 PM",201706,06,June,2017,2012.6575,2447,0.51305433,822.5,,,,,49.152,0.056504,48,1.024,,,,,0,0,24341,5.10349633,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3835,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2017, 8:00 PM",201707,07,July,2017,1417.2737,1709,0.34676161,829.3,,,,,28.028,0.03189742,28,1.001,,,,,0,0,17061,3.46173194,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3836,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2017, 8:00 PM",201708,08,August,2017,1895.5604,2308,0.46830065,821.3,,,,,35.77,0.03987177,35,1.022,,,,,0,0,23797,4.82848806,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3837,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2017, 8:00 PM",201709,09,September,2017,2735.3697,3281,0.68791633,833.7,,,,,59.475,0.07180717,61,0.975,,,,,0,0,30624,6.420832,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3838,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2017, 8:00 PM",201710,10,October,2017,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3839,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2017, 7:00 PM",201711,11,November,2017,552.7431,663,0.139009,833.7,,,,,8.649,0.0105945,9,0.961,,,,,0,0,8176,1.71423467,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3840,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2017, 7:00 PM",201712,12,December,2017,651.7512,786,0.15948194,829.2,,,,,11.58,0.01367032,12,0.965,,,,,0,0,9252,1.87726065,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3841,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2018, 7:00 PM",201801,01,January,2018,3073.6342,3653,0.74120548,841.4,,,,,242.688,0.26998887,237,1.024,,,,,0,0,47409,9.61943903,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3842,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2018, 7:00 PM",201802,02,Feburary,2018,2944.4272,3536,0.79433714,832.7,,,,,131.34,0.166485,132,0.995,,,,,0,0,40251,9.04209964,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3843,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2018, 8:00 PM",201803,03,March,2018,3144.9565,3785,0.76798871,830.9,,,,,56.028,0.06607323,58,0.966,,,,,0,0,38883,7.88948613,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3844,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2018, 8:00 PM",201804,04,April,2018,3422.484,4120,0.86382667,830.7,,,,,75.84,0.09299617,79,0.96,,,,,0,0,42545,8.92026833,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3845,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2018, 8:00 PM",201805,05,May,2018,2624.6138,3158,0.64076839,831.1,,,,,77.52,0.09113548,80,0.969,,,,,0,0,35861,7.27631258,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3846,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2018, 8:00 PM",201806,06,June,2018,2871.8659,3463,0.72607567,829.3,,,,,61.362,0.0741615,63,0.974,,,,,0,0,37389,7.839227,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3847,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2018, 8:00 PM",201807,07,July,2018,2350.2231,2817,0.57157839,834.3,,,,,51.41,0.06037726,53,0.97,,,,,0,0,33951,6.88876742,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3848,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2018, 8:00 PM",201808,08,August,2018,1432.6448,1676,0.34006581,854.8,,,,,36.936,0.04328935,38,0.972,,,,,0,0,21240,4.30966452,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3849,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2018, 8:00 PM",201809,09,September,2018,83.643,98,0.02054733,853.5,,,,,1.032,0.00117717,1,1.032,,,,,0,0,950,0.19918333,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3850,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2018, 8:00 PM",201810,10,October,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3851,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2018, 7:00 PM",201811,11,November,2018,2186.6515,2585,0.54198833,845.9,,,,,40.262,0.04826383,41,0.982,,,,,0,0,26798,5.61864733,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3852,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2018, 7:00 PM",201812,12,December,2018,3629.1615,4391,0.89094806,826.5,,,,,68.799,0.08088274,71,0.969,,,,,0,0,44944,9.11928258,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
3853,BEAULY,CNS,BEAULY,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2019, 7:00 PM",201901,01,January,2019,2982.4376,3592,0.72882839,830.3,,,,,55.404,0.06493403,57,0.972,,,,,0,0,40046,8.12546258,REPSOL SINOPEC RESOURCES,1.1784263110000666,58.17537627300004
4071,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2011, 7:00 PM",201101,01,January,2011,319.352,382,0.07750903,836,,,,,2656,3.78212258,3320,0.8,,,,,0,0,1844,0.37415355,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4072,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2011, 7:00 PM",201102,02,Feburary,2011,504.34,604,0.13568429,835,,,,,1560.8,2.46069875,1951,0.8,,,,,0,0,417,0.09367607,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4073,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2011, 8:00 PM",201103,03,March,2011,650.25,765,0.15522097,850,,,,,1367.2,1.94688177,1709,0.8,,,,,0,0,156,0.0316529,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4074,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2011, 8:00 PM",201104,04,April,2011,646.574,758,0.15892733,853,,,,,949.6,1.39729683,1187,0.8,,,,,0,0,139,0.02914367,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4075,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2011, 8:00 PM",201105,05,May,2011,522.035,655,0.13290161,797,,,,,1446.4,2.05966194,1808,0.8,,,,,0,0,0,0,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4076,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2011, 8:00 PM",201106,06,June,2011,170.775,225,0.047175,759,,,,,678.4,0.99823733,848,0.8,,,,,0,0,0,0,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4077,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2011, 8:00 PM",201107,07,July,2011,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4078,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2011, 8:00 PM",201108,08,August,2011,444.906,642,0.13026387,693,,,,,1506.4,2.14510145,1883,0.8,,,,,0,0,0,0,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4079,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2011, 8:00 PM",201109,09,September,2011,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4080,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2011, 8:00 PM",201110,10,October,2011,16.92,20,0.00405806,846,,,,,3.2,0.00455677,4,0.8,,,,,0,0,47,0.00953645,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4081,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2011, 7:00 PM",201111,11,November,2011,124.434,186,0.038998,669,,,,,5.6,0.00824017,7,0.8,,,,,0,0,424,0.08889867,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4082,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2011, 7:00 PM",201112,12,December,2011,133.529,199,0.04037774,671,,,,,6.4,0.00911355,8,0.8,,,,,0,0,431,0.08745129,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4083,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2012, 7:00 PM",201201,01,January,2012,560.032,814,0.16516323,688,,,,,6.4,0.00911355,8,0.8,,,,,0,0,438,0.08887161,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4084,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2012, 7:00 PM",201202,02,Feburary,2012,758.43,954,0.20691931,795,,,,,6.4,0.00974207,8,0.8,,,,,0,0,401,0.08697552,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4085,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2012, 8:00 PM",201203,03,March,2012,804.548,1021,0.20716419,788,,,,,6.4,0.00911355,8,0.8,,,,,0,0,507,0.10287194,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4086,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2012, 8:00 PM",201204,04,April,2012,915.722,1171,0.24551967,782,,,,,6.4,0.00941733,8,0.8,,,,,0,0,1169,0.24510033,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4087,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2012, 8:00 PM",201205,05,May,2012,791.464,1016,0.20614968,779,,,,,2953.6,4.20590258,3692,0.8,,,,,0,0,1296,0.26296258,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4088,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2012, 8:00 PM",201206,06,June,2012,781.284,994,0.20840867,786,,,,,3488.8,5.13362383,4361,0.8,,,,,0,0,885,0.185555,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4089,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2012, 8:00 PM",201207,07,July,2012,639.775,815,0.16536613,785,,,,,3476.8,4.95093516,4346,0.8,,,,,0,0,826,0.16759806,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4090,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2012, 8:00 PM",201208,08,August,2012,801.06,1027,0.20838161,780,,,,,3720.8,5.29838919,4651,0.8,,,,,0,0,768,0.15582968,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4091,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2012, 8:00 PM",201209,09,September,2012,1003.938,1266,0.265438,793,,,,,3362.4,4.9476315,4203,0.8,,,,,0,0,719,0.15075033,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4092,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2012, 8:00 PM",201210,10,October,2012,768.592,968,0.19641032,794,,,,,2936,4.18084032,3670,0.8,,,,,0,0,584,0.11849548,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4093,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"11/14/2012, 7:00 PM",201211,11,November,2012,974.86,1234,0.25872867,790,,,,,2667.2,3.92467367,3334,0.8,,,,,0,0,1036,0.21721467,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4094,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"12/14/2012, 7:00 PM",201212,12,December,2012,1154.2,1450,0.29420968,796,,,,,3528.8,5.02498274,4411,0.8,,,,,0,0,2110,0.42812581,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4095,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2013, 7:00 PM",201301,01,January,2013,938.126,1186,0.24064323,791,,,,,3727.2,5.30750274,4659,0.8,,,,,0,0,1656,0.33600774,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4096,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2013, 7:00 PM",201302,02,Feburary,2013,572.853,743,0.16690964,771,,,,,3355.2,5.2896825,4194,0.8,,,,,0,0,933,0.20959179,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4097,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2013, 8:00 PM",201303,03,March,2013,560.805,735,0.14913387,763,,,,,3220,4.58525403,4025,0.8,,,,,0,0,85,0.01724677,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
4098,BEINN,CNS,BEINN,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2013, 8:00 PM",201304,04,April,2013,265.864,334,0.07002867,796,,,,,1179.2,1.73514367,1474,0.8,,,,,0,0,47,0.00985433,MARATHON OIL UK LIMITED,1.3539810690000422,58.81668458300004
